Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WATERFORD RESIDENCE,"2,600,000","1,194.8","2,176",Jun-25,KIM YAM ROAD,Resale,Strata,111,"23,423",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,01 to 05
AMBER POINT,"3,820,000","1,689.95","2,260",Jun-25,AMBER ROAD,Resale,Strata,157,"24,331",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
RIPPLE BAY,"1,065,000",785.77,"1,355",Jun-25,PASIR RIS LINK,Resale,Strata,73,"14,589",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
STARS OF KOVAN,"1,850,000",958,"1,931",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,89,"20,787",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,06 to 10
VARSITY PARK CONDOMINIUM,"2,260,000","1,431.61","1,579",Jun-25,WEST COAST ROAD,Resale,Strata,133,"16,992",-,Condominium,1,99 yrs lease commencing from 2004,05,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,650,000",914.94,"1,803",Jun-25,TAMPINES LANE,Resale,Strata,85,"19,412",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
PARK PLACE RESIDENCES AT PLQ,"2,550,000","1,087.16","2,346",Jun-25,PAYA LEBAR ROAD,Resale,Strata,101,"25,248",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,11 to 15
ECO SANCTUARY,"1,220,000",731.95,"1,667",Jun-25,CHESTNUT AVENUE,Resale,Strata,68,"17,941",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
BAYOU RESIDENCE,"2,250,000","1,711.48","1,315",Jun-25,UPPER PAYA LEBAR ROAD,Resale,Strata,159,"14,151",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE VENUE RESIDENCES,"2,260,000","1,130.22","2,000",Jun-25,TAI THONG CRESCENT,Resale,Strata,105,"21,524",-,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
THOMSON IMPRESSIONS,"1,490,000",764.24,"1,950",Jun-25,LORONG PUNTONG,Resale,Strata,71,"20,986",-,Apartment,1,99 yrs lease commencing from 2015,20,Rest of Central Region,06 to 10
DUO RESIDENCES,"3,500,000","1,528.49","2,290",Jun-25,FRASER STREET,Resale,Strata,142,"24,648",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,41 to 45
EASTWIND MANSIONS,"2,020,000","1,270.15","1,590",Jun-25,JOO CHIAT TERRACE,Resale,Strata,118,"17,119",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TREASURE AT TAMPINES,"1,030,000",678.13,"1,519",Jun-25,TAMPINES LANE,Resale,Strata,63,"16,349",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05
BUKIT REGENCY,"2,816,000","1,646.89","1,710",Jun-25,UPPER BUKIT TIMAH VIEW,Resale,Strata,153,"18,405",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
AMBER PARK,"4,725,000","1,582.31","2,986",Jun-25,AMBER GARDENS,Resale,Strata,147,"32,143",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
DOUBLE BAY RESIDENCES,"1,980,000","1,367.03","1,448",Jun-25,SIMEI STREET 4,Resale,Strata,127,"15,591",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
STIRLING RESIDENCES,"1,480,000",624.31,"2,371",Jun-25,STIRLING ROAD,Resale,Strata,58,"25,517",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
ELLIOT AT THE EAST COAST,"2,750,000","1,474.67","1,865",Jun-25,ELLIOT ROAD,Resale,Strata,137,"20,073",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE LAKESHORE,"2,018,000","1,593.07","1,267",Jun-25,JURONG WEST STREET 41,Resale,Strata,148,"13,635",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,01 to 05
8@WOODLEIGH,"2,200,000","1,151.75","1,910",Jun-25,WOODLEIGH CLOSE,Resale,Strata,107,"20,561",-,Condominium,1,99 yrs lease commencing from 2008,13,Rest of Central Region,06 to 10
JEWEL @ BUANGKOK,"1,300,000",731.95,"1,776",Jun-25,COMPASSVALE BOW,Resale,Strata,68,"19,118",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
THE NAUTICAL,"1,450,000","1,130.22","1,283",Jun-25,JALAN SENDUDOK,Resale,Strata,105,"13,810",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
EIGHT RIVERSUITES,"1,920,888","1,033.34","1,859",Jun-25,WHAMPOA EAST,Resale,Strata,96,"20,009",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,11 to 15
UE SQUARE,"3,800,000","1,722.24","2,206",Jun-25,RIVER VALLEY ROAD,Resale,Strata,160,"23,750",-,Apartment,1,929 yrs lease commencing from 1953,09,Core Central Region,01 to 05
RITZ MANSIONS,"1,920,888","1,302.44","1,475",Jun-25,BALESTIER ROAD,Resale,Strata,121,"15,875",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
MAYFAIR GARDENS,"1,840,000",904.18,"2,035",Jun-25,RIFLE RANGE ROAD,Resale,Strata,84,"21,905",-,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05
PARC ESTA,"2,388,888","1,022.58","2,336",Jun-25,SIMS AVENUE,Resale,Strata,95,"25,146",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
GEM RESIDENCES,"910,000",484.38,"1,879",Jun-25,LORONG 5 TOA PAYOH,Resale,Strata,45,"20,222",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,06 to 10
MELVILLE PARK,"1,070,000","1,162.51",920,Jun-25,SIMEI STREET 1,Resale,Strata,108,"9,907",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,171,788",624.31,"1,877",Jun-25,HOUGANG AVENUE 2,Resale,Strata,58,"20,203",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
FOURTH AVENUE RESIDENCES,"1,090,000",484.38,"2,250",Jun-25,FOURTH AVENUE,Resale,Strata,45,"24,222",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
PARK INFINIA AT WEE NAM,"4,080,000","1,689.95","2,414",Jun-25,LINCOLN ROAD,Resale,Strata,157,"25,987",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
THE TAPESTRY,"1,900,000","1,130.22","1,681",Jun-25,TAMPINES STREET 86,Resale,Strata,105,"18,095",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,01 to 05
24 ONE RESIDENCES,"1,695,000",807.3,"2,100",Jun-25,PASIR PANJANG ROAD,Resale,Strata,75,"22,600",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
JADESCAPE,"1,136,800",527.44,"2,155",Jun-25,SHUNFU ROAD,Resale,Strata,49,"23,200",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
RIVERFRONT RESIDENCES,"990,000",602.78,"1,642",Jun-25,HOUGANG AVENUE 7,Resale,Strata,56,"17,679",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
EUPHONY GARDENS,"1,830,000","2,088.22",876,Jun-25,JALAN MATA AYER,Resale,Strata,194,"9,433",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
LEEDON 2,"1,810,000",839.59,"2,156",Jun-25,LEEDON ROAD,Resale,Strata,78,"23,205",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
26 NEWTON,"1,050,000",473.62,"2,217",Jun-25,NEWTON ROAD,Resale,Strata,44,"23,864",-,Apartment,1,Freehold,11,Core Central Region,16 to 20
KINGSFORD . HILLVIEW PEAK,"1,200,000",828.83,"1,448",Jun-25,HILLVIEW RISE,Resale,Strata,77,"15,584",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
ARTRA,"2,880,000","1,227.1","2,347",Jun-25,ALEXANDRA VIEW,Resale,Strata,114,"25,263",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,26 to 30
VALLEY MANSION,"2,158,000","1,140.98","1,891",Jun-25,OXLEY ROAD,Resale,Strata,106,"20,358",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
COSTA RHU,"2,825,000","1,646.89","1,715",Jun-25,RHU CROSS,Resale,Strata,153,"18,464",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
GUILLEMARD EDGE,"950,000",559.73,"1,697",Jun-25,LORONG 30 GEYLANG,Resale,Strata,52,"18,269",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
LAGUNA PARK,"1,870,000","1,453.14","1,287",Jun-25,MARINE PARADE ROAD,Resale,Strata,135,"13,852",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
CRESCENDO PARK,"1,470,000",850.36,"1,729",Jun-25,JALAN TUA KONG,Resale,Strata,79,"18,608",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
THE TAPESTRY,"2,180,000","1,345.5","1,620",Jun-25,TAMPINES STREET 86,Resale,Strata,125,"17,440",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
THE PALETTE,"1,818,000","1,162.51","1,564",Jun-25,PASIR RIS GROVE,Resale,Strata,108,"16,833",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
TANJONG RIA CONDOMINIUM,"1,965,000","1,205.57","1,630",Jun-25,TANJONG RHU ROAD,Resale,Strata,112,"17,545",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,06 to 10
PARC EMILY,"1,350,000",753.48,"1,792",Jun-25,MOUNT EMILY ROAD,Resale,Strata,70,"19,286",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
SHERWOOD CONDOMINIUM,"1,340,000",904.18,"1,482",Jun-25,JALAN JURONG KECHIL,Resale,Strata,84,"15,952",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,200,000",624.31,"1,922",Jun-25,SIMS DRIVE,Resale,Strata,58,"20,690",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20
THE TESSARINA,"3,813,000","1,614.6","2,362",Jun-25,WILBY ROAD,Resale,Strata,150,"25,420",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
PARC MONDRIAN,"1,770,000",904.18,"1,958",Jun-25,WOODLEIGH CLOSE,Resale,Strata,84,"21,071",-,Apartment,1,Freehold,13,Rest of Central Region,11 to 15
COSY 23,"1,180,000","1,022.58","1,154",Jun-25,LORONG 30 GEYLANG,Resale,Strata,95,"12,421",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
NORTH PARK RESIDENCES,"2,311,000","1,184.04","1,952",Jun-25,YISHUN CENTRAL 1,Resale,Strata,110,"21,009",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
BEDOK RESIDENCES,"940,000",516.67,"1,819",Jun-25,BEDOK NORTH DRIVE,Resale,Strata,48,"19,583",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,06 to 10
LOFT @ NATHAN,"785,000",387.5,"2,026",Jun-25,NATHAN ROAD,Resale,Strata,36,"21,806",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
THE SEAFRONT ON MEYER,"4,800,000","2,088.22","2,299",Jun-25,MEYER ROAD,Resale,Strata,194,"24,742",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
WATERFRONT ISLE,"1,400,000",893.41,"1,567",Jun-25,BEDOK RESERVOIR ROAD,Resale,Strata,83,"16,867",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,06 to 10
PARK PLACE RESIDENCES AT PLQ,"2,515,000","1,087.16","2,313",Jun-25,PAYA LEBAR ROAD,Resale,Strata,101,"24,901",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,11 to 15
SCOTTS SQUARE,"1,900,000",635.08,"2,992",Jun-25,SCOTTS ROAD,Resale,Strata,59,"32,203",-,Apartment,1,Freehold,09,Core Central Region,31 to 35
NV RESIDENCES,"1,810,000","1,270.15","1,425",Jun-25,PASIR RIS GROVE,Resale,Strata,118,"15,339",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"1,114,298",635.08,"1,755",Jun-25,HOUGANG AVENUE 2,Resale,Strata,59,"18,886",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
Q BAY RESIDENCES,"820,000",516.67,"1,587",Jun-25,TAMPINES STREET 86,Resale,Strata,48,"17,083",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
VOLARI,"6,080,000","2,174.33","2,796",Jun-25,BALMORAL ROAD,Resale,Strata,202,"30,099",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
SUITES @ EASTCOAST,"720,000",365.98,"1,967",Jun-25,UPPER EAST COAST ROAD,Resale,Strata,34,"21,176",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
STIRLING RESIDENCES,"1,100,000",505.91,"2,174",Jun-25,STIRLING ROAD,Resale,Strata,47,"23,404",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
BEDOK RESIDENCES,"1,238,000",678.13,"1,826",Jun-25,BEDOK NORTH DRIVE,Resale,Strata,63,"19,651",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
THE MILTONIA RESIDENCES,"1,400,000","1,140.98","1,227",Jun-25,MILTONIA CLOSE,Resale,Strata,106,"13,208",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
KANDIS RESIDENCE,"1,030,000",764.24,"1,348",Jun-25,KANDIS LINK,Resale,Strata,71,"14,507",-,Condominium,1,99 yrs lease commencing from 2016,27,Outside Central Region,01 to 05
WATTEN HILL,"2,550,000","1,345.5","1,895",Jun-25,WATTEN ESTATE ROAD,Resale,Strata,125,"20,400",-,Condominium,1,Freehold,11,Core Central Region,-
LAGUNA GREEN,"1,590,000","1,065.64","1,492",Jun-25,JALAN HAJIJAH,Resale,Strata,99,"16,061",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
STIRLING RESIDENCES,"1,130,000",505.91,"2,234",Jun-25,STIRLING ROAD,Resale,Strata,47,"24,043",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
PRINCIPAL GARDEN,"955,000",495.14,"1,929",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,46,"20,761",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
THE FERNHILL,"2,230,000","1,065.64","2,093",Jun-25,FERNHILL ROAD,Resale,Strata,99,"22,525",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
MIDTOWN RESIDENCES,"765,000",452.09,"1,692",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,42,"18,214",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
ROSYTH VILLE,"1,550,000","1,108.69","1,398",Jun-25,ROSYTH ROAD,Resale,Strata,103,"15,049",-,Apartment,1,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05
THE FLORENCE RESIDENCES,"2,170,000","1,087.16","1,996",Jun-25,HOUGANG AVENUE 2,Resale,Strata,101,"21,485",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
LA FIESTA,"2,280,000","1,345.5","1,695",Jun-25,SENGKANG SQUARE,Resale,Strata,125,"18,240",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
THOMSON GROVE,"2,600,000","1,485.43","1,750",Jun-25,YIO CHU KANG ROAD,Resale,Strata,138,"18,841",-,Condominium,1,Freehold,26,Outside Central Region,06 to 10
PARC ESTA,"1,608,000",710.42,"2,263",Jun-25,SIMS AVENUE,Resale,Strata,66,"24,364",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
TWENTYONE ANGULLIA PARK,"6,250,000","1,894.46","3,299",Jun-25,ANGULLIA PARK,Resale,Strata,176,"35,511",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
CENTRAL GREEN CONDOMINIUM,"2,300,000","1,808.35","1,272",Jun-25,JALAN MEMBINA,Resale,Strata,168,"13,690",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,11 to 15
NOMA,"1,050,000",602.78,"1,742",Jun-25,GUILLEMARD ROAD,Resale,Strata,56,"18,750",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
MIDWOOD,"2,480,000","1,248.62","1,986",Jun-25,HILLVIEW RISE,Resale,Strata,116,"21,379",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,06 to 10
THE LANAI,"1,545,000",958,"1,613",Jun-25,HILLVIEW AVENUE,Resale,Strata,89,"17,360",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,06 to 10
PALM GARDENS,"1,408,888","1,345.5","1,047",Jun-25,HONG SAN WALK,Resale,Strata,125,"11,271",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,06 to 10
SIMS EDGE,"878,000",473.62,"1,854",Jun-25,GEYLANG EAST AVENUE 2,Resale,Strata,44,"19,955",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
FOUR SEASONS PARK,"7,500,000","2,260.44","3,318",Jun-25,CUSCADEN WALK,Resale,Strata,210,"35,714",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
URBAN VISTA,"930,000",861.12,"1,080",Jun-25,TANAH MERAH KECHIL LINK,Resale,Strata,80,"11,625",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
WATER PLACE,"2,250,000","1,227.1","1,834",Jun-25,TANJONG RHU ROAD,Resale,Strata,114,"19,737",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
CITY SQUARE RESIDENCES,"1,185,000",570.49,"2,077",Jun-25,KITCHENER LINK,Resale,Strata,53,"22,358",-,Condominium,1,Freehold,08,Rest of Central Region,21 to 25
THOMSON IMPERIAL COURT,"1,588,888","1,097.93","1,447",Jun-25,UPPER THOMSON ROAD,Resale,Strata,102,"15,577",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
FERNWOOD TOWERS,"2,150,000","1,194.8","1,799",Jun-25,FERNWOOD TERRACE,Resale,Strata,111,"19,369",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
MARINA BAY SUITES,"4,080,000","2,055.92","1,985",Jun-25,CENTRAL BOULEVARD,Resale,Strata,191,"21,361",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,51 to 55
EVERGREEN PARK,"1,145,000","1,022.58","1,120",Jun-25,HOUGANG AVENUE 7,Resale,Strata,95,"12,053",-,Apartment,1,99 yrs lease commencing from 1995,19,Outside Central Region,11 to 15
THE INFINITI,"1,570,000",914.94,"1,716",Jun-25,WEST COAST PARK,Resale,Strata,85,"18,471",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
SCOTTS HIGHPARK,"4,300,000","1,743.77","2,466",Jun-25,SCOTTS ROAD,Resale,Strata,162,"26,543",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
LOFT @ STEVENS,"868,000",376.74,"2,304",Jun-25,STEVENS ROAD,Resale,Strata,35,"24,800",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
OPTIMA @ TANAH MERAH,"3,600,000","2,960.1","1,216",Jun-25,TANAH MERAH KECHIL AVENUE,Resale,Strata,275,"13,091",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,11 to 15
NIN RESIDENCE,"2,300,000","1,776.06","1,295",Jun-25,PHENG GECK AVENUE,Resale,Strata,165,"13,939",-,Apartment,1,99 yrs lease commencing from 2010,13,Rest of Central Region,16 to 20
STARS OF KOVAN,"1,510,000",796.54,"1,896",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,74,"20,405",-,Apartment,1,99 yrs lease commencing from 2015,19,Outside Central Region,16 to 20
CITYVISTA RESIDENCES,"4,130,000","2,120.51","1,948",Jun-25,PECK HAY ROAD,Resale,Strata,197,"20,964",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
SIGNATURE PARK,"1,740,000","1,044.11","1,666",Jun-25,TOH TUCK ROAD,Resale,Strata,97,"17,938",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
LE QUEST,"1,401,488",882.65,"1,588",Jun-25,BUKIT BATOK STREET 41,Resale,Strata,82,"17,091",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
MIDTOWN RESIDENCES,"759,000",452.09,"1,679",Jun-25,UPPER SERANGOON ROAD,Resale,Strata,42,"18,071",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
LEONIE GARDENS,"3,000,000","1,733","1,731",Jun-25,LEONIE HILL,Resale,Strata,161,"18,634",-,Condominium,1,99 yrs lease commencing from 1990,09,Core Central Region,01 to 05
SKIES MILTONIA,"1,165,000",968.76,"1,203",Jun-25,MILTONIA CLOSE,Resale,Strata,90,"12,944",-,Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
KOVAN MELODY,"2,250,000","1,227.1","1,834",Jun-25,KOVAN ROAD,Resale,Strata,114,"19,737",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,06 to 10
LEVILLE ISUITES,"1,850,000","1,054.87","1,754",Jun-25,CEYLON ROAD,Resale,Strata,98,"18,878",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CLIFTEN,"2,380,000","1,065.64","2,233",Jun-25,EWE BOON ROAD,Resale,Strata,99,"24,040",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
LA FIESTA,"1,480,000",839.59,"1,763",Jun-25,SENGKANG SQUARE,Resale,Strata,78,"18,974",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
ORCHID PARK CONDOMINIUM,"930,000",958,971,Jun-25,YISHUN STREET 81,Resale,Strata,89,"10,449",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,01 to 05
PARC CLEMATIS,"1,460,000",731.95,"1,995",Jun-25,JALAN LEMPENG,Resale,Strata,68,"21,471",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,01 to 05
OLEANDER TOWERS,"1,800,000","1,140.98","1,578",Jun-25,LORONG 1 TOA PAYOH,Resale,Strata,106,"16,981",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,16 to 20
HILLION RESIDENCES,"1,318,000",710.42,"1,855",Jun-25,JELEBU ROAD,Resale,Strata,66,"19,970",-,Apartment,1,99 yrs lease commencing from 2013,23,Outside Central Region,11 to 15
LE SOMME,"915,000",581.26,"1,574",Jun-25,SOMME ROAD,Resale,Strata,54,"16,944",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
