Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
YISHUN EMERALD,"970,000","1,216.33",797,Jan-22,CANBERRA DRIVE,Resale,Strata,113,"8,584",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
CENTRAL VIEW,"1,050,000","1,216.33",863,Jan-22,HOUGANG STREET 11,Resale,Strata,113,"9,292",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,06 to 10
APOLLO GARDENS,"1,930,000","1,840.64","1,049",Jan-22,UPPER CHANGI ROAD,Resale,Strata,171,"11,287",-,Apartment,1,Freehold,16,Outside Central Region,01 to 05
HILBRE28,"2,530,000","2,034.4","1,244",Jan-22,HILLSIDE DRIVE,Resale,Strata,189,"13,386",-,Apartment,1,999 yrs lease commencing from 1876,19,Outside Central Region,01 to 05
THE GLADES,"1,330,000","1,011.82","1,314",Jan-22,BEDOK RISE,Resale,Strata,94,"14,149",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
THE ESTUARY,"680,000",602.78,"1,128",Jan-22,YISHUN AVENUE 1,Resale,Strata,56,"12,143",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,06 to 10
D'NEST,"1,125,000",936.47,"1,201",Jan-22,PASIR RIS GROVE,Resale,Strata,87,"12,931",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10
AALTO,"3,150,000","1,550.02","2,032",Jan-22,MEYER ROAD,Resale,Strata,144,"21,875",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE TRILINQ,"1,750,000","1,108.69","1,578",Jan-22,JALAN LEMPENG,Resale,Strata,103,"16,990",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,26 to 30
HIGH PARK RESIDENCES,"558,000",398.27,"1,401",Jan-22,FERNVALE ROAD,Resale,Strata,37,"15,081",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,16 to 20
RESIDENTIAL APARTMENTS,"1,680,000","1,399.32","1,201",Jan-22,GRAY LANE,Resale,Strata,130,"12,923",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATERFRONT WAVES,"1,100,000",968.76,"1,135",Jan-22,BEDOK RESERVOIR ROAD,Resale,Strata,90,"12,222",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10
THE ESTUARY,"1,020,000",925.7,"1,102",Jan-22,YISHUN AVENUE 1,Resale,Strata,86,"11,860",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,11 to 15
PEOPLE'S PARK CENTRE,"1,750,000","2,335.79",749,Jan-22,UPPER CROSS STREET,Resale,Strata,217,"8,065",-,Apartment,1,99 yrs lease commencing from 1970,01,Rest of Central Region,16 to 20
THE WHARF RESIDENCE,"2,250,000","1,065.64","2,111",Jan-22,TONG WATT ROAD,Resale,Strata,99,"22,727",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
THE MERASAGA,"2,800,000","1,700.71","1,646",Jan-22,JALAN MERAH SAGA,Resale,Strata,158,"17,722",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,01 to 05
BARTLEY RIDGE,"1,488,000",968.76,"1,536",Jan-22,MOUNT VERNON ROAD,Resale,Strata,90,"16,533",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
THE MADEIRA,"1,290,000","1,302.44",990,Jan-22,BUKIT BATOK STREET 31,Resale,Strata,121,"10,661",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,16 to 20
SUNGLADE,"1,030,000",861.12,"1,196",Jan-22,SERANGOON AVENUE 2,Resale,Strata,80,"12,875",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
PARKSHORE,"3,819,000","2,325.02","1,643",Jan-22,TANJONG RHU ROAD,Resale,Strata,216,"17,681",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
THE LUXURIE,"962,888",775.01,"1,242",Jan-22,COMPASSVALE ROAD,Resale,Strata,72,"13,373",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
HARBOURLIGHTS,"1,400,000",861.12,"1,626",Jan-22,TELOK BLANGAH ROAD,Resale,Strata,80,"17,500",-,Apartment,1,Freehold,04,Rest of Central Region,06 to 10
THE VISION,"1,170,000",818.06,"1,430",Jan-22,WEST COAST CRESCENT,Resale,Strata,76,"15,395",-,Condominium,1,99 yrs lease commencing from 2008,05,Outside Central Region,21 to 25
MIRAGE TOWER,"2,460,000","1,227.1","2,005",Jan-22,KIM SENG ROAD,Resale,Strata,114,"21,579",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
THE HILLIER,"758,000",505.91,"1,498",Jan-22,HILLVIEW RISE,Resale,Strata,47,"16,128",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,11 to 15
BALLOTA PARK CONDOMINIUM,"1,170,000","1,345.5",870,Jan-22,MARIAM WAY,Resale,Strata,125,"9,360",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
REGENTVILLE,"1,195,000","1,334.74",895,Jan-22,HOUGANG STREET 92,Resale,Strata,124,"9,637",-,Apartment,1,99 yrs lease commencing from 1996,19,Outside Central Region,11 to 15
LEGENDA AT JOO CHIAT,"1,400,000","1,216.33","1,151",Jan-22,JOO CHIAT LANE,Resale,Strata,113,"12,389",-,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,01 to 05
ASTORIA PARK,"1,090,000",861.12,"1,266",Jan-22,LORONG MYDIN,Resale,Strata,80,"13,625",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,01 to 05
VISIONCREST,"1,950,000",904.18,"2,157",Jan-22,OXLEY RISE,Resale,Strata,84,"23,214",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE LUXURIE,"1,302,000","1,054.87","1,234",Jan-22,COMPASSVALE ROAD,Resale,Strata,98,"13,286",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
KINGSFORD . HILLVIEW PEAK,"668,000",516.67,"1,293",Jan-22,HILLVIEW RISE,Resale,Strata,48,"13,917",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
BLUWATERS 2,"1,880,000","2,400.37",783,Jan-22,JALAN LOYANG BESAR,Resale,Strata,223,"8,430",-,Condominium,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
CYAN,"3,660,000","1,463.9","2,500",Jan-22,KENG CHIN ROAD,Resale,Strata,136,"26,912",-,Condominium,1,Freehold,10,Core Central Region,16 to 20
HIGH PARK RESIDENCES,"520,000",387.5,"1,342",Jan-22,FERNVALE ROAD,Resale,Strata,36,"14,444",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
ST PATRICK'S GREEN,"1,800,000","1,087.16","1,656",Jan-22,ST. PATRICK'S ROAD,Resale,Strata,101,"17,822",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE SAIL @ MARINA BAY,"1,475,000",861.12,"1,713",Jan-22,MARINA BOULEVARD,Resale,Strata,80,"18,438",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,11 to 15
STRATUM,"570,000",473.62,"1,204",Jan-22,ELIAS ROAD,Resale,Strata,44,"12,955",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
JERVOIS MEADOWS,"2,200,000","1,216.33","1,809",Jan-22,JERVOIS ROAD,Resale,Strata,113,"19,469",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
THE HILLFORD,"625,000",505.91,"1,235",Jan-22,JALAN JURONG KECHIL,Resale,Strata,47,"13,298",-,Apartment,1,60 yrs lease commencing from 2013,21,Rest of Central Region,06 to 10
MELVILLE PARK,"1,020,000","1,345.5",758,Jan-22,SIMEI STREET 1,Resale,Strata,125,"8,160",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,01 to 05
MARTIN PLACE RESIDENCES,"2,495,000","1,044.11","2,390",Jan-22,MARTIN PLACE,Resale,Strata,97,"25,722",-,Condominium,1,Freehold,09,Core Central Region,16 to 20
THE TESSARINA,"2,590,000","1,367.03","1,895",Jan-22,WILBY ROAD,Resale,Strata,127,"20,394",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE INTERLACE,"2,400,000","1,743.77","1,376",Jan-22,DEPOT ROAD,Resale,Strata,162,"14,815",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
BOTANIQUE AT BARTLEY,"795,000",495.14,"1,606",Jan-22,UPPER PAYA LEBAR ROAD,Resale,Strata,46,"17,283",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
AIRSTREAM,"655,000",473.62,"1,383",Jan-22,ST. MICHAEL'S ROAD,Resale,Strata,44,"14,886",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
Q BAY RESIDENCES,"1,360,000","1,119.46","1,215",Jan-22,TAMPINES STREET 86,Resale,Strata,104,"13,077",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"860,000",678.13,"1,268",Jan-22,UPPER SERANGOON VIEW,Resale,Strata,63,"13,651",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
LA FIESTA,"995,000",753.48,"1,321",Jan-22,SENGKANG SQUARE,Resale,Strata,70,"14,214",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
CHANGI GREEN,"1,300,000","1,216.33","1,069",Jan-22,UPPER CHANGI ROAD EAST,Resale,Strata,113,"11,504",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
LA FIESTA,"1,770,000","1,367.03","1,295",Jan-22,SENGKANG SQUARE,Resale,Strata,127,"13,937",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE TENNERY,"940,000",893.41,"1,052",Jan-22,WOODLANDS ROAD,Resale,Strata,83,"11,325",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
LLOYD SIXTYFIVE,"2,292,000",602.78,"3,802",Jan-22,LLOYD ROAD,Resale,Strata,56,"40,929",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
GARDENVISTA,"2,125,000","1,345.5","1,579",Jan-22,DUNEARN ROAD,Resale,Strata,125,"17,000",-,Condominium,1,99 yrs lease commencing from 1999,21,Rest of Central Region,01 to 05
OASIS GARDEN,"1,980,000","1,334.74","1,483",Jan-22,JALAN BUNGA RAMPAI,Resale,Strata,124,"15,968",-,Condominium,1,Freehold,19,Rest of Central Region,16 to 20
ROSEWOOD,"750,000","1,001.05",749,Jan-22,ROSEWOOD DRIVE,Resale,Strata,93,"8,065",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,11 to 15
SAVANNAH CONDOPARK,"1,200,000","1,227.1",978,Jan-22,SIMEI RISE,Resale,Strata,114,"10,526",-,Condominium,1,99 yrs lease commencing from 2000,18,Outside Central Region,06 to 10
ASCENTIA SKY,"2,335,000","1,474.67","1,583",Jan-22,ALEXANDRA VIEW,Resale,Strata,137,"17,044",-,Condominium,1,99 yrs lease commencing from 2008,03,Rest of Central Region,26 to 30
OUE TWIN PEAKS,"1,200,000",548.96,"2,186",Jan-22,LEONIE HILL ROAD,Resale,Strata,51,"23,529",-,Condominium,1,99 yrs lease commencing from 2010,09,Core Central Region,06 to 10
CASHEW HEIGHTS CONDOMINIUM,"1,750,000","1,227.1","1,426",Jan-22,CASHEW ROAD,Resale,Strata,114,"15,351",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,06 to 10
CHANGI COURT,"1,348,000","1,184.04","1,138",Jan-22,UPPER CHANGI ROAD EAST,Resale,Strata,110,"12,255",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
WATERTOWN,"793,888",527.44,"1,505",Jan-22,PUNGGOL CENTRAL,Resale,Strata,49,"16,202",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
DOVER PARKVIEW,"1,089,000",968.76,"1,124",Jan-22,DOVER RISE,Resale,Strata,90,"12,100",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,01 to 05
CAMELOT BY-THE-WATER,"3,775,000","2,432.66","1,552",Jan-22,TANJONG RHU ROAD,Resale,Strata,226,"16,704",-,Condominium,1,99 yrs lease commencing from 1996,15,Rest of Central Region,01 to 05
SIMS URBAN OASIS,"1,040,000",710.42,"1,464",Jan-22,SIMS DRIVE,Resale,Strata,66,"15,758",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
AVILA GARDENS,"868,600",893.41,972,Jan-22,FLORA ROAD,Resale,Strata,83,"10,465",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
28 RC SUITES,"700,000",430.56,"1,626",Jan-22,RACE COURSE LANE,Resale,Strata,40,"17,500",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
SUMMERHILL,"2,300,000","1,550.02","1,484",Jan-22,HUME AVENUE,Resale,Strata,144,"15,972",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
JUNIPER AT ARDMORE,"10,250,000","3,519.83","2,912",Jan-22,ARDMORE PARK,Resale,Strata,327,"31,346",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
J GATEWAY,"1,200,000",678.13,"1,770",Jan-22,GATEWAY DRIVE,Resale,Strata,63,"19,048",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,11 to 15
WATERTOWN,"838,000",570.49,"1,469",Jan-22,PUNGGOL CENTRAL,Resale,Strata,53,"15,811",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
THE MINTON,"1,320,000","1,108.69","1,191",Jan-22,HOUGANG STREET 11,Resale,Strata,103,"12,816",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
KINGSFORD WATERBAY,"908,000",678.13,"1,339",Jan-22,UPPER SERANGOON VIEW,Resale,Strata,63,"14,413",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
LAKEVILLE,"1,228,000",764.24,"1,607",Jan-22,JURONG LAKE LINK,Resale,Strata,71,"17,296",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,16 to 20
PARC SOPHIA,"1,240,000",731.95,"1,694",Jan-22,ADIS ROAD,Resale,Strata,68,"18,235",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,320,000","1,044.11","1,264",Jan-22,FERNVALE CLOSE,Resale,Strata,97,"13,608",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
MARINA BAY RESIDENCES,"5,280,000","1,991.34","2,651",Jan-22,MARINA BOULEVARD,Resale,Strata,185,"28,541",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,06 to 10
THE COSMOPOLITAN,"2,750,000","1,140.98","2,410",Jan-22,KIM SENG ROAD,Resale,Strata,106,"25,943",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
URBAN VISTA,"1,900,000","1,668.42","1,139",Jan-22,TANAH MERAH KECHIL LINK,Resale,Strata,155,"12,258",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,11 to 15
REGENT HEIGHTS,"930,000","1,173.28",793,Jan-22,BUKIT BATOK EAST AVENUE 5,Resale,Strata,109,"8,532",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
CAVENAGH COURT,"3,000,000","1,862.17","1,611",Jan-22,CAVENAGH ROAD,Resale,Strata,173,"17,341",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
HIGHLINE RESIDENCES,"2,300,000","1,108.69","2,075",Jan-22,KIM TIAN ROAD,Resale,Strata,103,"22,330",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,01 to 05
VIVA VISTA,"600,000",333.68,"1,798",Jan-22,SOUTH BUONA VISTA ROAD,Resale,Strata,31,"19,355",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
LEONIE HILL RESIDENCES,"3,180,000","1,410.08","2,255",Jan-22,LEONIE HILL ROAD,Resale,Strata,131,"24,275",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
VERSILIA ON HAIG,"1,850,000","1,130.22","1,637",Jan-22,IPOH LANE,Resale,Strata,105,"17,619",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
PARC PALAIS,"1,800,000","1,227.1","1,467",Jan-22,HUME AVENUE,Resale,Strata,114,"15,789",-,Condominium,1,Freehold,21,Outside Central Region,06 to 10
PARC CENTROS,"958,000",764.24,"1,254",Jan-22,PUNGGOL CENTRAL,Resale,Strata,71,"13,493",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
TANGLIN PARK,"3,400,000","1,506.96","2,256",Jan-22,RIDLEY PARK,Resale,Strata,140,"24,286",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
PALM ISLES,"790,000",785.77,"1,005",Jan-22,FLORA DRIVE,Resale,Strata,73,"10,822",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
NADIA MANSIONS,"2,580,000","2,281.97","1,131",Jan-22,AH HOOD ROAD,Resale,Strata,212,"12,170",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
